Ticker,Name,Market,Panel,Sector,Sub-Sector,Comment,Name(EN),Company Code(12),Ticker(4),Ticker(5),Ticker(12),Sector Code,Sub-Sector Code,Panel Code
آباد,توریستی ورفاهی آبادگران ایران,بورس,بازار دوم بورس,هتل و رستوران,هتل ها ، اردو و دیگر تدارکات اقامت کوتاه,-,Abadgaran,IRO1ABAD0002,ABAD,ABAD1,IRO1ABAD0001,55,5510,1
آبادا,تولید نیروی برق آبادان,بورس,بازار دوم بورس,عرضه برق، گاز، بخاروآب گرم,تولید انتقال و توزیع نیروی برق,-,Abadan PG,IRO1NBAB0009,NBAB,NBAB1,IRO1NBAB0001,40,4010,3
آپ,آسان پرداخت پرشین,بورس,بازار اول (تابلوی فرعی) بورس,رایانه و فعالیت های وابسته به آن,مشاوره و تهیه نرم افزار,-,Asan Pardakht Pers,IRO1APPE0008,APPE,APPE1,IRO1APPE0001,72,7220,3
آسیا,بیمه آسیا,بورس,بازار دوم بورس,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,بیمه غیرزندگی,-,Asia Bime,IRO1ASIA0008,ASIA,ASIA1,IRO1ASIA0001,66,6603,1
آلومینا,آلومینای ایران,بورس,بازار دوم بورس,فلزات اساسی,تولید فلزات گرانبهای غیرآهن,-,Alomina Iran,IRO1ALMN0004,ALMN,ALMN1,IRO1ALMN0001,27,2720,1
اپال,فرآوری معدنی اپال کانی پارس,بورس,بازار دوم بورس,استخراج کانه های فلزی,استخراج آهن,-,Opal Kani Pars,IRO1OPAL0000,OPAL,OPAL1,IRO1OPAL0001,13,1310,1
اتکام,بیمه اتکایی امین,بورس,بازار دوم بورس,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,بیمه غیرزندگی,-,Amin Company,IRO1ETKA0009,ETKA,ETKA1,IRO1ETKA0001,66,6603,1
اخابر,مخابرات ایران,بورس,بازار دوم بورس,مخابرات,مخابرات,-,Iran Tele. Co.,IRO1MKBT0008,MKBT,MKBT1,IRO1MKBT0001,64,6420,1
اردستان,سیمان اردستان,بورس,بازار اول (تابلوی اصلی) بورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,Ardestan Cement,IRO1ARDS0004,ARDS,ARDS1,IRO1ARDS0001,53,5394,1
اروند,پتروشیمی اروند,بورس,بازار دوم بورس,محصولات شیمیایی,تولید پلاستیک اولیه و لاستیک ترکیبی,-,Arvand Petro.,IRO1RVND0004,RVND,RVND1,IRO1RVND0001,44,4413,1
اسیاتک,انتقال داده های آسیاتک,بورس,بازار اول (تابلوی اصلی) بورس,اطلاعات و ارتباطات,خدمات ارزش افزوده,-,Asiatech,IRO1ASTC0003,ASTC,ASTC1,IRO1ASTC0001,73,7310,1
افق,فروشگاههای زنجیره ای افق کوروش,بورس,بازار دوم بورس,خرده فروشی،باستثنای وسایل نقلیه موتوری,خرده فروشی انواع موادغذایی،نوشیدنی وغیره,-,Ofogh Koorosh,IRO1OFOG0003,OFOG,OFOG1,IRO1OFOG0001,47,4711,1
البرز,بیمه البرز,بورس,بازار اول (تابلوی اصلی) بورس,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,بیمه غیرزندگی,-,S*Alborz Bimeh,IRO1BALB0001,BALB,BALB1,IRO1BALB0001,66,6603,1
امید,تامین سرمایه امید,بورس,بازار دوم بورس,فعالیتهای کمکی به نهادهای مالی واسط,بجز تامین وجوه بیمه و بازنشستگی,-,Investment Banking,IRO1OMID0005,OMID,OMID1,IRO1OMID0001,67,6719,3
امین,تامین سرمایه امین,بورس,بازار دوم بورس,فعالیتهای کمکی به نهادهای مالی واسط,بجز تامین وجوه بیمه و بازنشستگی,-,Amin Investment,IRO1TSAN0000,TSAN,TSAN1,IRO1TSAN0001,67,6719,1
انرژی,بورس انرژی ایران,بورس,بازار اول (تابلوی اصلی) بورس,فعالیتهای کمکی به نهادهای مالی واسط,فعالیتهای مرتبط با اوراق بهادار,-,Other Energy B.,IRO1BENC0004,BENC,BENC1,IRO1BENC0001,67,6712,1
بالبر,کابل  البرز,بورس,بازار دوم بورس,ماشین آلات و دستگاه های برقی,تولید سیم و کابل عایق,-,Alborz Cable,IRO1KALZ0002,KALZ,KALZ1,IRO1KALZ0001,31,3130,3
بپویا,دانش محور پویا نیرو,بورس,بازار دوم بورس,ماشین آلات و دستگاه های برقی,تولید سیم و کابل عایق,-,Pooya Power,IRO1POYA0005,POYA,POYA1,IRO1POYA0001,31,3130,3
بترانس,ایران  ترانسفو,بورس,بازار اول (تابلوی اصلی) بورس,ماشین آلات و دستگاه های برقی,تولید موتورها، مولدها و مبدلهای الکتریکی,-,S*Iran Transfo,IRO1TRNS0001,TRNS,TRNS1,IRO1TRNS0001,31,3110,1
برکت,گروه دارویی برکت,بورس,بازار اول (تابلوی اصلی) بورس,مواد و محصولات دارویی,تولید سایر محصولات دارویی,-,G.Barekat Pharm,IRO1BRKT0003,BRKT,BRKT1,IRO1BRKT0001,43,4399,1
بسویچ,پارس سویچ,بورس,بازار اول (تابلوی فرعی) بورس,ماشین آلات و دستگاه های برقی,تولید تجهیزات توزیع و کنترل برق,-,Pars Switch,IRO1SWIC0000,SWIC,SWIC1,IRO1SWIC0001,31,3120,3
بشهاب,لامپ  پارس  شهاب,بورس,بازار دوم بورس,ماشین آلات و دستگاه های برقی,تولید لامپ برقی و تجهیزات روشنایی,-,Pars Shahab,IRO1LAPS0006,LAPS,LAPS1,IRO1LAPS0001,31,3150,1
بفجر,فجر انرژی خلیج فارس,بورس,بازار اول (تابلوی اصلی) بورس,عرضه برق، گاز، بخاروآب گرم,تولید،لنتقال و توزیع برق،گاز،بخاروآب گرم,-,Fajr E.Persia Gulf,IRO1BFJR0002,BFJR,BFJR1,IRO1BFJR0001,40,4011,1
بکاب,صنایع جوشکاب یزد,بورس,بازار دوم بورس,ماشین آلات و دستگاه های برقی,تولید سیم و کابل عایق,-,Yazd Jooshkab,IRO1JOSH0004,JOSH,JOSH1,IRO1JOSH0001,31,3130,3
بکام,کارخانجات تولیدی شهید قندی,بورس,بازار اول (تابلوی فرعی) بورس,ماشین آلات و دستگاه های برقی,تولید سیم و کابل عایق,-,Ghandi Cables.,IRO1KGND0000,KGND,KGND1,IRO1KGND0001,31,3130,3
بموتو,موتوژن,بورس,بازار اول (تابلوی فرعی) بورس,ماشین آلات و دستگاه های برقی,تولید موتورها، مولدها و مبدلهای الکتریکی,-,Motogen,IRO1MOTJ0006,MOTJ,MOTJ1,IRO1MOTJ0001,31,3110,3
بنیرو,نیروترانس,بورس,بازار اول (تابلوی فرعی) بورس,ماشین آلات و دستگاه های برقی,تولید موتورها، مولدها و مبدلهای الکتریکی,-,Nirou Trans,IRO1NIRO0008,NIRO,NIRO1,IRO1NIRO0001,31,3110,3
بورس,بورس اوراق بهادار تهران,بورس,بازار اول (تابلوی اصلی) بورس,فعالیتهای کمکی به نهادهای مالی واسط,اداره ی بازارهای مالی,-,S*TehranStockExch.,IRO1BORS0000,BORS,BORS1,IRO1BORS0001,67,6711,1
بوعلی,پتروشیمی بوعلی سینا,بورس,بازار اول (تابلوی اصلی) بورس,محصولات شیمیایی,تولید مواد شیمیایی پایه به جز کود,-,BoualiSina Petro.,IRO1BONA0004,BONA,BONA1,IRO1BONA0001,44,4411,1
پارس,پتروشیمی پارس,بورس,بازار دوم بورس,محصولات شیمیایی,تولید مواد شیمیایی پایه به جز کود,-,PARS Petrochemical,IRO1PARS0000,PARS,PARS1,IRO1PARS0001,44,4411,3
