شیوه سرمایه‌گذاری,تاریخ به‌روز رسانی,درجه‌بندی عملکرد فصل,ضامن نقدشوندگی,ضریب بتا,ضریب آلفا,بازده یک ساله,قیمت آماری,قیمت ابطال,قیمت صدور, دوره تقسیم سود ,کل ارزش خالص دارایی‌ها ,نماد,نوع صندوق,نام صندوق,آدرس سایت
قابل معامله,1405/05/05,----,----,----,----,0,13443,13438,13446,----,68532679418048,ثمر,در اوراق بهادار با درآمد ثابت, صندوق سرمایه گذاری در اوراق بهادار بادرآمد ثابت ثمر گندم,samaretf.ir
قابل معامله,1405/05/05,3.5,بانک ملت سهامی عام,----,----,35.975,18541,18770,18785,----,106301022932533,آتیه ملت,در اوراق بهادار با درآمد ثابت,آتیه ملت,atiehmellat.ir
قابل معامله,1405/05/05,4,----,----,----,37.71,118380,118684,118787,ندارد,72223652369552,آکورد,در اوراق بهادار با درآمد ثابت,آرمان آتی کوثر,aaketf.com
قابل معامله,1405/05/05,4,----,0.731051,30.75,93.75,777281,775564,782828,ندارد,19668021127154,آتیمس,در سهام,آرمان آتیه درخشان مس,armanmesetf.ir
قابل معامله,1405/05/05,----,----,----,----,31.61,10660,10624,10632,ندارد,31092863854438,آسا,در اوراق بهادار با درآمد ثابت,آرمان کارآفرین,akfund.ir
قابل معامله,1405/05/05,----,----,----,----,50.944,52385,52385,52640,----,3380022776396,آسام,مختلط,آسام,asaetf.ir
قابل معامله,1405/05/05,----,----,----,----,0,15060,15060,15193,----,4467681603128,آلکان,در سهام-بخشی,آلکان-صندوق بخشی مهرگان 1 - بخشی,sector.mehreganfunds.ir
قابل معامله,1405/05/05,----,----,0.778781,41.44,107.44,50936,50862,51324,ندارد,10623656127455,آوان,در سهام,آوان ژرف آگاه,avanfund.ir
قابل معامله,1405/05/05,----,----,0.696203,32.94,92.94,41110,41110,41494,ندارد,6096663678330,تاراز,در سهام,آوای تاراز زاگرس,tarazfund.ir
قابل معامله,1405/05/05,----,----,0.740811,56.86,119.86,145310,145239,146564,ندارد,9070755604339,رشدی کیان,در سهام,آوای سهام کیان,kianfunds2.ir
